observation_ID,date,frequency,frequency_err,width,width_err,rms,rms_err
30402-01-17-00,51067.62,3.670,0.008,0.805,0.023,10.997,0.132
30402-01-18-00,51096.34,2.725,0.008,0.507,0.015,12.553,0.276
30703-01-14-00,50909.88,1.657,0.004,0.269,0.009,13.362,0.155
30703-01-15-00,50925.88,1.435,0.003,0.191,0.010,12.437,0.240
30703-01-16-00,50931.67,1.376,0.003,0.159,0.008,12.265,0.258
30703-01-17-00,50938.89,0.923,0.002,0.098,0.008,11.151,0.360
30703-01-18-00,50980.76,3.243,0.005,0.554,0.015,12.631,0.131
30703-01-19-00,50952.60,1.253,0.004,0.117,0.010,11.139,0.311
30703-01-20-00,50957.81,0.695,0.002,0.084,0.006,9.798,0.234
30703-01-21-00,50964.80,1.749,0.004,0.124,0.010,11.293,0.374
30703-01-22-00,50991.60,2.250,0.005,0.291,0.012,13.654,0.199
30703-01-22-01,50991.68,2.250,0.005,0.230,0.019,13.198,0.221
30703-01-23-00,51008.89,3.034,0.007,0.420,0.023,12.912,0.248
30703-01-23-01,51008.96,2.178,0.007,0.255,0.017,14.025,0.314
30703-01-24-00,51166.13,2.386,0.005,0.379,0.013,13.309,0.171
30703-01-24-01,51165.69,2.662,0.013,0.431,0.035,12.408,0.384
30703-01-24-02,51165.80,2.544,0.013,0.386,0.044,12.852,0.460
30703-01-31-00,51056.76,3.818,0.012,0.799,0.034,10.800,0.170
30703-01-33-00,51071.89,3.306,0.007,0.755,0.026,12.205,0.179
30703-01-34-00,51077.97,1.826,0.005,0.283,0.014,15.286,0.300
30703-01-35-00,51081.81,2.467,0.005,0.423,0.019,12.770,0.212
30703-01-36-00,51089.71,3.024,0.008,0.625,0.029,12.080,0.225
30703-01-41-00,51173.66,2.161,0.004,0.239,0.011,13.992,0.231
40115-01-10-00G,51542.70,2.137,0.005,0.340,0.011,12.972,0.143
40115-01-10-01,51542.59,2.336,0.006,0.225,0.016,11.952,0.222
40115-01-10-02,51542.52,2.694,0.007,0.292,0.015,11.822,0.195
40116-01-01-00,51356.21,1.987,0.007,0.219,0.010,13.905,0.389
40116-01-01-01,51356.28,2.350,0.007,0.267,0.015,13.339,0.239
40116-01-01-02,51356.35,2.198,0.005,0.219,0.014,13.571,0.259
40116-01-01-03,51356.41,2.065,0.005,0.228,0.013,13.603,0.242
40116-01-01-04,51357.21,1.508,0.006,0.139,0.014,13.112,0.447
40116-01-01-05,51357.28,1.354,0.006,0.147,0.010,12.948,0.337
40116-01-01-06,51357.35,1.469,0.005,0.157,0.012,13.105,0.319
40116-01-01-07,51357.41,1.592,0.005,0.187,0.012,13.724,0.284
40116-01-02-00,51358.21,2.337,0.007,0.232,0.019,13.898,0.345
40116-01-02-01,51358.28,2.106,0.007,0.228,0.018,13.532,0.316
40116-01-02-02,51358.35,2.157,0.006,0.217,0.014,13.775,0.270
40116-01-02-03,51358.41,2.197,0.005,0.236,0.013,13.991,0.243
40116-01-02-04,51359.21,3.507,0.011,0.397,0.034,10.961,0.252
40116-01-02-05,51359.28,3.130,0.007,0.345,0.023,12.352,0.267
40116-01-02-06,51359.34,2.817,0.007,0.284,0.016,12.596,0.245
40116-01-02-07,51359.41,2.781,0.006,0.281,0.015,13.049,0.217
40403-01-01-00,51202.91,2.591,0.008,0.477,0.024,13.395,0.256
40403-01-08-00,51331.37,2.479,0.003,0.310,0.007,13.432,0.105
40403-01-09-00,51367.27,2.041,0.002,0.301,0.006,15.198,0.109
40403-01-10-00,51588.44,4.939,0.011,0.461,0.031,5.927,0.131
40403-01-11-00,51602.33,4.339,0.010,0.696,0.028,7.927,0.105
40703-01-01-00,51179.06,2.266,0.003,0.313,0.010,14.413,0.166
40703-01-02-00,51186.07,3.575,0.006,0.740,0.017,10.992,0.102
40703-01-05-00,51221.04,4.204,0.005,0.842,0.016,9.641,0.037
40703-01-09-00,51264.91,2.781,0.005,0.371,0.015,12.668,0.175
40703-01-15-01,51325.06,2.197,0.006,0.216,0.013,13.573,0.288
40703-01-15-02,51325.13,2.346,0.007,0.207,0.021,13.252,0.612
40703-01-16-00,51331.98,1.849,0.005,0.210,0.013,13.587,0.269
40703-01-16-01,51332.05,1.816,0.006,0.241,0.016,13.776,0.263
40703-01-16-02,51332.12,1.762,0.005,0.189,0.013,13.086,0.291
40703-01-16-03,51332.18,1.726,0.005,0.177,0.013,13.077,0.253
40703-01-17-00,51336.05,2.766,0.007,0.326,0.016,13.123,0.235
40703-01-17-01,51336.11,2.861,0.005,0.412,0.013,12.798,0.138
40703-01-20-00,51361.88,5.113,0.015,0.598,0.039,5.287,0.119
40703-01-20-01,51361.94,5.616,0.021,0.686,0.049,4.314,0.125
40703-01-21-00,51369.88,2.354,0.006,0.193,0.014,13.936,0.434
40703-01-21-01,51370.03,2.441,0.005,0.290,0.012,14.460,0.219
40703-01-21-02,51369.96,2.562,0.008,0.250,0.019,12.856,0.325
40703-01-41-00,51518.48,1.475,0.005,0.187,0.014,12.368,0.251
40703-01-41-01,51518.55,1.505,0.007,0.165,0.017,11.696,0.351
40703-01-41-02,51518.61,1.580,0.007,0.171,0.018,11.748,0.382
40703-01-41-03,51518.68,1.639,0.009,0.180,0.019,11.150,0.388
40703-01-41-04,51533.54,1.994,0.007,0.275,0.016,12.424,0.255
40703-01-41-05,51533.61,1.910,0.005,0.168,0.013,11.762,0.302
40703-01-42-00,51525.49,1.424,0.005,0.101,0.013,11.037,0.515
40703-01-42-01,51525.60,1.350,0.010,0.219,0.042,11.523,0.418
40703-01-42-02,51525.56,1.338,0.006,0.128,0.013,11.787,0.406
40703-01-42-03,51525.67,1.312,0.005,0.138,0.013,11.820,0.369
40703-01-43-00,51533.47,2.109,0.006,0.208,0.014,11.902,0.280
40703-01-44-00,51540.46,2.470,0.006,0.243,0.014,11.797,0.217
40703-01-44-01,51540.53,2.285,0.008,0.235,0.017,11.635,0.238
40703-01-44-02,51540.59,2.336,0.006,0.324,0.014,12.309,0.176
40703-01-44-03,51546.44,1.517,0.004,0.131,0.010,11.900,0.283
40703-01-45-00,51546.51,1.638,0.005,0.206,0.020,12.597,0.556
40703-01-45-01,51546.58,1.730,0.006,0.214,0.015,12.194,0.271
40703-01-47-00,51560.41,2.082,0.003,0.283,0.008,13.725,0.121
40703-01-48-00,51567.34,1.847,0.003,0.186,0.008,13.851,0.201
40703-01-48-01,51567.46,1.857,0.007,0.252,0.017,14.735,0.338
40703-01-48-02,51567.52,2.002,0.009,0.192,0.022,13.526,0.484
40703-01-49-00,51574.33,2.389,0.006,0.243,0.020,13.777,0.311
40703-01-49-01,51574.40,2.185,0.007,0.245,0.021,14.739,0.389
40703-01-49-02,51574.47,2.223,0.010,0.207,0.019,13.395,0.474
40703-01-50-00,51581.32,2.141,0.006,0.228,0.016,14.274,0.348
40703-01-50-01,51581.46,2.151,0.008,0.236,0.018,14.182,0.359
40703-01-50-02,51581.38,2.045,0.008,0.202,0.014,13.728,0.368
40703-01-51-00,51595.28,3.255,0.008,0.472,0.022,12.236,0.128
40703-01-51-01,51595.41,2.694,0.008,0.337,0.018,13.841,0.159
40703-01-51-02,51595.35,2.962,0.007,0.350,0.017,12.394,0.218
40703-01-51-03,51595.48,2.611,0.006,0.249,0.017,13.478,0.308
50125-01-01-00,51738.26,3.187,0.007,0.338,0.022,12.244,0.261
50125-01-01-01,51738.33,3.617,0.009,0.437,0.027,10.863,0.199
50125-01-01-02,51738.39,3.419,0.006,0.396,0.016,11.636,0.165
50125-01-01-03,51738.46,3.025,0.007,0.350,0.017,12.760,0.217
50125-01-01-04,51738.53,2.772,0.007,0.322,0.018,12.928,0.231
50125-01-02-00,51739.39,2.138,0.003,0.263,0.009,15.267,0.177
50125-01-02-01,51739.33,2.260,0.005,0.176,0.010,13.726,0.271
50125-01-02-02,51739.25,2.293,0.006,0.200,0.013,14.211,0.322
50125-01-03-00,51740.26,3.267,0.004,0.656,0.012,13.062,0.052
50405-01-02-00,51656.38,2.142,0.006,0.280,0.014,12.966,0.239
50405-01-02-01,51656.45,2.164,0.007,0.298,0.019,13.133,0.281
50405-01-02-02,51656.51,2.380,0.007,0.378,0.023,12.791,0.275
50405-01-03-00,51657.31,2.890,0.006,0.486,0.019,11.947,0.165
50703-01-05-02,51731.09,2.528,0.011,0.341,0.026,13.264,0.385
50703-01-08-00,51668.09,3.394,0.009,0.745,0.026,11.697,0.151
50703-01-17-00,51730.90,2.959,0.008,0.300,0.021,12.442,0.293
50703-01-17-01,51730.98,2.787,0.010,0.329,0.025,12.635,0.378
50703-01-17-02,51731.05,2.730,0.013,0.308,0.030,12.652,0.274
50703-01-18-00,51737.88,3.080,0.010,0.413,0.023,12.532,0.270
50703-01-18-01,51737.95,2.548,0.008,0.268,0.024,13.316,0.316
50703-01-18-02,51738.02,2.725,0.009,0.296,0.023,13.392,0.358
50703-01-18-03,51738.09,2.662,0.011,0.300,0.026,13.602,0.420
50703-01-19-03,51744.07,4.654,0.013,0.478,0.035,6.530,0.156
50703-01-21-00,51758.87,2.027,0.004,0.183,0.011,13.944,0.276
50703-01-21-01,51758.94,2.062,0.005,0.247,0.012,14.878,0.235
50703-01-21-02,51759.00,2.042,0.004,0.205,0.012,14.609,0.279
50703-01-24-01,51779.98,4.090,0.019,0.588,0.046,8.520,0.230
50703-01-25-00,51786.78,2.479,0.009,0.299,0.022,14.074,0.432
50703-01-25-01,51786.96,3.088,0.011,0.457,0.025,12.178,0.236
50703-01-25-02,51786.85,2.546,0.008,0.292,0.025,13.418,0.362
50703-01-27-03,51799.92,3.787,0.013,0.620,0.039,9.863,0.222
50703-01-28-00,51808.68,3.730,0.011,0.727,0.035,10.296,0.189
50703-01-28-01,51808.75,3.523,0.011,0.729,0.039,11.060,0.235
50703-01-28-02,51808.82,3.348,0.010,0.664,0.034,11.880,0.232
50703-01-40-01,51891.55,5.695,0.026,0.680,0.060,4.353,0.143
50703-01-40-02,51891.61,5.230,0.020,0.529,0.045,5.004,0.159
50703-01-40-03,51891.68,5.230,0.027,0.530,0.054,5.128,0.209
50703-01-41-00,51897.44,6.229,0.024,0.876,0.066,3.797,0.096
50703-01-41-01,51897.51,4.927,0.018,0.660,0.052,6.107,0.148
50703-01-41-02,51897.58,4.278,0.013,0.513,0.035,8.461,0.184
50703-01-41-03,51897.65,4.094,0.014,0.456,0.039,9.250,0.276
50703-01-42-00,51902.49,2.004,0.005,0.144,0.010,12.379,0.294
50703-01-42-01,51902.56,2.016,0.007,0.143,0.016,11.833,0.310
50703-01-42-02,51902.62,2.055,0.005,0.126,0.005,12.415,0.378
50703-01-43-00,51912.43,1.334,0.005,0.140,0.010,12.117,0.274
50703-01-43-01,51912.56,1.330,0.005,0.174,0.012,12.423,0.275
50703-01-43-02,51912.50,1.326,0.004,0.132,0.011,12.231,0.302
50703-01-44-01,51967.29,2.551,0.006,0.299,0.016,13.239,0.259
50703-01-45-00,51940.37,3.705,0.011,0.369,0.025,9.562,0.208
50703-01-45-01,51940.44,4.012,0.014,0.476,0.041,8.698,0.266
50703-01-46-00,51947.34,2.715,0.009,0.311,0.023,12.901,0.307
50703-01-46-01,51947.40,3.226,0.010,0.347,0.020,11.704,0.238
50703-01-46-02,51947.47,3.736,0.012,0.450,0.039,10.329,0.317
50703-01-48-00,51961.32,5.239,0.013,0.686,0.027,5.544,0.089
50703-01-49-00,51967.35,2.613,0.005,0.301,0.012,12.826,0.156
50703-01-50-00,51976.30,1.570,0.003,0.153,0.008,14.599,0.262
50703-01-50-01,51976.43,1.562,0.004,0.152,0.010,14.591,0.289
50703-01-50-02,51976.26,1.617,0.006,0.155,0.015,14.113,0.434
50703-01-51-00,51982.20,2.183,0.004,0.241,0.012,14.692,0.266
50703-01-51-01,51982.26,2.144,0.004,0.182,0.009,13.863,0.230
50703-01-52-00,51997.21,1.937,0.005,0.191,0.015,15.139,0.371
50703-01-52-01,51997.28,1.969,0.007,0.202,0.016,14.413,0.401
50703-01-52-02,51997.34,1.896,0.008,0.180,0.017,13.807,0.497
50703-01-53-00,52004.16,2.342,0.007,0.259,0.017,14.178,0.319
50703-01-53-01,52004.24,2.514,0.007,0.269,0.019,13.743,0.315
50703-01-53-02,52004.30,2.559,0.008,0.247,0.022,13.367,0.345
50703-01-54-00,52011.19,1.966,0.005,0.214,0.015,14.870,0.345
50703-01-54-01,52011.26,1.900,0.006,0.227,0.014,15.358,0.319
50703-01-54-02,52011.32,1.939,0.006,0.224,0.017,14.891,0.377
50703-01-55-00,52016.16,2.681,0.007,0.270,0.015,13.217,0.264
50703-01-55-01,52016.22,2.842,0.004,0.317,0.010,13.431,0.143
50703-01-56-00,52025.16,3.011,0.004,0.392,0.012,12.899,0.137
50703-01-59-00,52045.07,2.195,0.009,0.210,0.021,13.922,0.513
50703-01-59-01,52045.14,2.147,0.008,0.200,0.022,14.463,0.530
50703-01-62-00,52065.99,4.558,0.012,0.586,0.028,7.496,0.124
50703-01-62-01,52066.06,4.513,0.016,0.648,0.037,7.444,0.154
50703-01-62-02,52066.13,4.626,0.013,0.638,0.033,7.396,0.131
50703-01-62-03,52066.19,4.332,0.010,0.551,0.028,7.865,0.123
50703-01-64-00,52077.97,2.193,0.005,0.229,0.011,13.728,0.237
50703-01-65-00,52090.89,3.130,0.006,0.376,0.017,12.290,0.182
50703-01-65-01,52096.95,1.918,0.008,0.187,0.017,14.088,0.454
50703-01-66-00,52096.88,1.896,0.006,0.192,0.016,14.220,0.407
50703-01-66-01,52097.02,1.895,0.011,0.186,0.023,13.427,0.583
50703-01-67-00,52112.91,2.181,0.005,0.207,0.013,14.414,0.313
50703-01-67-01,52112.98,2.208,0.005,0.189,0.013,13.636,0.328
50703-01-67-02,52113.05,2.177,0.006,0.203,0.015,13.880,0.355
60100-01-01-00,52126.14,2.226,0.004,0.165,0.008,14.197,0.242
60100-01-01-01,52128.19,2.271,0.005,0.182,0.011,13.918,0.275
60100-01-02-00,52127.14,4.368,0.011,0.606,0.024,7.710,0.096
60100-01-03-01,52128.13,2.347,0.005,0.203,0.011,14.031,0.249
60405-01-01-00,51992.89,2.823,0.007,0.394,0.020,13.109,0.254
60405-01-01-01,51993.08,2.027,0.005,0.195,0.012,13.605,0.289
60405-01-03-00,52126.00,2.728,0.003,0.314,0.010,13.739,0.138
60405-01-04-00,52099.08,2.170,0.011,0.230,0.023,13.739,0.500
60405-01-04-01,52100.11,2.540,0.007,0.231,0.018,13.939,0.357
60405-01-04-02,52101.10,2.315,0.010,0.276,0.022,13.958,0.439
60405-01-04-03,52099.12,2.236,0.008,0.237,0.018,14.760,0.351
60405-01-04-04,52099.18,2.335,0.009,0.200,0.019,14.287,0.502
60405-01-04-05,52100.24,2.744,0.006,0.221,0.015,13.431,0.295
60405-01-04-06,52100.31,2.988,0.008,0.339,0.022,13.237,0.299
60405-01-04-07,52101.00,2.690,0.010,0.266,0.024,13.320,0.404
60405-01-04-08,52101.06,2.424,0.009,0.200,0.022,13.218,0.521
60701-01-01-00,52122.97,2.260,0.005,0.258,0.013,14.221,0.261
60701-01-01-01,52123.03,2.077,0.004,0.182,0.010,14.100,0.262
60701-01-04-00,52148.75,4.534,0.014,0.670,0.036,7.817,0.144
60701-01-04-02,52148.93,4.387,0.019,0.479,0.051,7.582,0.280
60701-01-05-00,52157.76,3.080,0.006,0.186,0.014,12.319,0.263
60701-01-05-01,52157.90,3.098,0.007,0.210,0.015,12.225,0.296
60701-01-06-00,52162.72,4.103,0.007,0.351,0.020,9.066,0.171
60701-01-06-01,52162.86,4.564,0.008,0.322,0.020,7.207,0.143
60701-01-06-02,52162.79,4.166,0.009,0.368,0.022,8.779,0.173
60701-01-20-00,52276.47,5.382,0.012,0.865,0.041,7.766,0.143
60701-01-23-00,52296.35,2.062,0.004,0.172,0.009,12.677,0.217
60701-01-23-01,52296.43,2.102,0.004,0.214,0.009,13.008,0.194
60701-01-24-00,52304.38,0.571,0.003,0.047,0.009,9.310,0.498
60701-01-24-01,52304.45,0.584,0.004,0.062,0.011,9.786,0.558
60701-01-24-02,52304.52,0.582,0.005,0.034,0.008,8.248,0.785
60701-01-25-00,52312.31,0.617,0.003,0.067,0.008,9.577,0.347
60701-01-25-01,52312.38,0.612,0.003,0.080,0.009,9.667,0.363
60701-01-26-00,52318.31,0.819,0.003,0.083,0.007,9.852,0.318
60701-01-26-01,52318.39,0.869,0.004,0.078,0.008,10.408,0.376
60701-01-26-02,52318.45,0.940,0.004,0.069,0.007,10.120,0.411
60701-01-26-03,52318.52,0.967,0.005,0.109,0.012,10.677,0.384
60701-01-28-00,52339.30,0.466,0.001,0.055,0.004,8.746,0.175
60701-01-29-00,52354.22,0.616,0.003,0.095,0.021,9.569,0.794
60701-01-30-00,52360.19,1.624,0.006,0.148,0.018,12.136,0.305
60701-01-30-01,52360.26,1.577,0.006,0.140,0.012,12.110,0.356
60701-01-30-02,52360.33,1.585,0.005,0.180,0.010,13.183,0.260
60701-01-31-01,52372.20,5.217,0.026,0.452,0.108,5.973,0.627
60701-01-33-00,52388.09,1.030,0.003,0.109,0.009,10.698,0.247
60701-01-33-01,52388.17,0.976,0.003,0.100,0.009,10.642,0.311
60702-01-01-00,52106.34,4.491,0.007,0.475,0.016,7.238,0.091
60702-01-01-01,52106.10,4.005,0.014,0.484,0.034,9.050,0.215
60702-01-01-02,52106.03,4.333,0.012,0.451,0.030,7.618,0.160
60702-01-01-10,52107.20,4.807,0.016,0.567,0.038,6.963,0.155
70702-01-01-00,52394.17,0.875,0.002,0.093,0.005,10.263,0.196
70702-01-03-00,52410.09,2.402,0.017,0.200,0.044,11.934,0.600
70702-01-03-01,52410.16,2.387,0.008,0.199,0.017,12.445,0.336
70702-01-04-00,52416.02,4.946,0.017,0.654,0.052,5.812,0.177
70702-01-04-01,52416.09,4.936,0.016,0.581,0.044,6.039,0.133
70702-01-04-02,52416.16,5.427,0.023,0.627,0.059,4.552,0.160
70702-01-05-00,52422.02,2.547,0.007,0.293,0.018,12.607,0.249
70702-01-05-01,52422.09,2.180,0.006,0.179,0.012,12.429,0.300
70702-01-05-02,52422.16,2.249,0.007,0.248,0.019,12.906,0.309
70702-01-05-03,52422.23,2.152,0.007,0.214,0.018,12.634,0.360
70702-01-06-00,52430.99,1.359,0.007,0.127,0.016,14.620,0.689
70702-01-06-01,52431.05,1.420,0.005,0.136,0.019,13.614,0.514
70702-01-07-00,52438.04,1.493,0.005,0.183,0.013,15.671,0.382
70702-01-08-00,52766.05,0.954,0.003,0.107,0.010,11.776,0.349
70702-01-08-01,52766.12,1.028,0.005,0.072,0.009,10.621,0.504
70702-01-09-00,52452.15,1.981,0.008,0.234,0.019,15.665,0.452
70702-01-10-00,52458.97,2.310,0.009,0.238,0.021,14.332,0.436
70702-01-11-00,52465.04,1.856,0.007,0.233,0.024,16.218,0.558
70702-01-11-01,52464.97,1.888,0.008,0.236,0.023,15.878,0.529
70702-01-12-00,52472.88,2.835,0.009,0.373,0.024,11.679,0.273
70702-01-12-01,52473.01,2.673,0.012,0.397,0.034,11.985,0.378
70702-01-14-00,52486.85,2.881,0.009,0.408,0.025,11.784,0.270
70702-01-18-00,52513.77,3.091,0.011,0.247,0.023,11.060,0.285
70702-01-18-01,52513.84,3.197,0.012,0.347,0.026,11.559,0.292
70702-01-19-00,52520.75,2.761,0.007,0.354,0.017,15.301,0.277
70702-01-20-00,52527.73,4.314,0.012,0.717,0.033,9.640,0.146
70702-01-20-01,52527.81,4.276,0.011,0.606,0.035,9.545,0.167
70702-01-21-00,52535.71,3.491,0.008,0.395,0.022,11.992,0.236
70702-01-21-01,52535.77,3.168,0.007,0.368,0.018,13.083,0.216
70702-01-22-00,52542.69,4.704,0.012,0.446,0.028,6.777,0.180
70702-01-23-00,52550.72,3.451,0.005,0.334,0.013,11.777,0.163
70702-01-24-00,52556.65,2.584,0.004,0.177,0.009,12.783,0.197
70702-01-25-00,52564.65,4.045,0.013,0.447,0.029,8.620,0.208
70702-01-25-01,52564.72,4.347,0.013,0.406,0.033,7.393,0.183
70702-01-32-00,52772.03,2.885,0.007,0.319,0.017,12.012,0.229
70702-01-32-01,52772.11,2.718,0.007,0.274,0.016,12.031,0.261
70702-01-32-02,52772.17,2.628,0.011,0.213,0.023,11.278,0.293
70702-01-44-00,53045.34,3.216,0.006,0.350,0.015,11.460,0.163
70702-01-44-01,53045.47,3.963,0.007,0.466,0.017,10.520,0.120
70702-01-45-00,53054.39,5.256,0.011,0.562,0.048,6.541,0.356
70702-01-46-00,52717.23,4.396,0.013,0.717,0.027,10.078,0.141
70702-01-47-00,52725.20,1.144,0.005,0.097,0.014,10.829,0.542
70702-01-47-01,52725.27,1.007,0.005,0.102,0.011,11.803,0.461
