observation_ID,frequency,width,rms
50703-01-51-00,2.183,0.241,14.692
50703-01-51-01,2.144,0.182,13.863
50703-01-52-00,1.937,0.191,15.139
50703-01-52-01,1.969,0.202,14.413
50703-01-52-02,1.896,0.18,13.807
50703-01-53-00,2.342,0.259,14.178
50703-01-53-01,2.514,0.269,13.743
50703-01-53-02,2.559,0.247,13.367
50703-01-54-00,1.966,0.214,14.87
50703-01-54-01,1.9,0.227,15.358
50703-01-54-02,1.939,0.224,14.891
50703-01-55-00,2.681,0.27,13.217
50703-01-55-01,2.842,0.317,13.431
50703-01-56-00,3.011,0.392,12.899
50703-01-59-00,2.195,0.21,13.922
50703-01-59-01,2.147,0.2,14.463
50703-01-62-00,4.558,0.586,7.496
50703-01-62-01,4.513,0.648,7.444
50703-01-62-02,4.626,0.638,7.396
50703-01-62-03,4.332,0.551,7.865
50703-01-64-00,2.193,0.229,13.728
50703-01-65-01,1.918,0.187,14.088
50703-01-66-00,1.896,0.192,14.22
50703-01-66-01,1.895,0.186,13.427
50703-01-67-00,2.181,0.207,14.414
50703-01-67-01,2.208,0.189,13.636
50703-01-67-02,2.177,0.203,13.88
60100-01-01-00,2.226,0.165,14.197
60100-01-01-01,2.271,0.182,13.918
60100-01-02-00,4.368,0.606,7.71
60100-01-03-01,2.347,0.203,14.031
60405-01-01-00,2.823,0.394,13.109
60405-01-01-01,2.027,0.195,13.605
60405-01-03-00,2.728,0.314,13.739
60405-01-04-00,2.17,0.23,13.739
60405-01-04-01,2.54,0.231,13.939
60405-01-04-02,2.315,0.276,13.958
60405-01-04-03,2.236,0.237,14.76
60405-01-04-04,2.335,0.2,14.287
60405-01-04-05,2.744,0.221,13.431
60405-01-04-06,2.988,0.339,13.237
60405-01-04-07,2.69,0.266,13.32
60405-01-04-08,2.424,0.2,13.218
60701-01-01-00,2.26,0.258,14.221
60701-01-01-01,2.077,0.182,14.1
60701-01-04-00,4.534,0.67,7.817
60701-01-04-02,4.387,0.479,7.582
60701-01-05-00,3.08,0.186,12.319
60701-01-05-01,3.098,0.21,12.225
60701-01-06-00,4.103,0.351,9.066
60701-01-06-01,4.564,0.322,7.207
60701-01-06-02,4.166,0.368,8.779
60701-01-20-00,5.382,0.865,7.766
60701-01-23-00,2.062,0.172,12.677
60701-01-23-01,2.102,0.214,13.008
60701-01-24-00,0.571,0.047,9.31
60701-01-24-01,0.584,0.062,9.786
60701-01-24-02,0.582,0.034,8.248
60701-01-25-00,0.617,0.067,9.577
60701-01-25-01,0.612,0.08,9.667
60701-01-26-00,0.819,0.083,9.852
60701-01-26-01,0.869,0.078,10.408
60701-01-26-02,0.94,0.069,10.12
60701-01-26-03,0.967,0.109,10.677
60701-01-28-00,0.466,0.055,8.746
60701-01-29-00,0.616,0.095,9.569
60701-01-30-00,1.624,0.148,12.136
60701-01-30-01,1.577,0.14,12.11
60701-01-30-02,1.585,0.18,13.183
60701-01-31-01,5.217,0.452,5.973
60701-01-33-00,1.03,0.109,10.698
60701-01-33-01,0.976,0.1,10.642
60702-01-01-00,4.491,0.475,7.238
60702-01-01-01,4.005,0.484,9.05
60702-01-01-02,4.333,0.451,7.618
60702-01-01-10,4.807,0.567,6.963
70702-01-01-00,0.875,0.093,10.263
70702-01-03-00,2.402,0.2,11.934
70702-01-03-01,2.387,0.199,12.445
70702-01-04-00,4.946,0.654,5.812
70702-01-04-01,4.936,0.581,6.039
70702-01-04-02,5.427,0.627,4.552
70702-01-05-00,2.547,0.293,12.607
70702-01-05-01,2.18,0.179,12.429
70702-01-05-02,2.249,0.248,12.906
70702-01-05-03,2.152,0.214,12.634
70702-01-06-00,1.359,0.127,14.62
70702-01-06-01,1.42,0.136,13.614
70702-01-07-00,1.493,0.183,15.671
70702-01-08-00,0.954,0.107,11.776
70702-01-08-01,1.028,0.072,10.621
70702-01-09-00,1.981,0.234,15.665
70702-01-10-00,2.31,0.238,14.332
70702-01-11-00,1.856,0.233,16.218
70702-01-11-01,1.888,0.236,15.878
70702-01-12-00,2.835,0.373,11.679
70702-01-12-01,2.673,0.397,11.985
70702-01-14-00,2.881,0.408,11.784
70702-01-18-00,3.091,0.247,11.06
70702-01-18-01,3.197,0.347,11.559
70702-01-19-00,2.761,0.354,15.301
70702-01-20-00,4.314,0.717,9.64
70702-01-20-01,4.276,0.606,9.545
70702-01-21-00,3.491,0.395,11.992
70702-01-21-01,3.168,0.368,13.083
70702-01-22-00,4.704,0.446,6.777
70702-01-23-00,3.451,0.334,11.777
70702-01-24-00,2.584,0.177,12.783
70702-01-25-00,4.045,0.447,8.62
70702-01-25-01,4.347,0.406,7.393
70702-01-32-00,2.885,0.319,12.012
70702-01-32-01,2.718,0.274,12.031
70702-01-32-02,2.628,0.213,11.278
70702-01-44-00,3.216,0.35,11.46
70702-01-44-01,3.963,0.466,10.52
70702-01-45-00,5.256,0.562,6.541
70702-01-46-00,4.396,0.717,10.078
70702-01-47-00,1.144,0.097,10.829
70702-01-47-01,1.007,0.102,11.803
70702-01-48-00,1.797,0.193,13.355
70702-01-48-01,1.709,0.222,13.815
70702-01-50-00,0.865,0.073,10.724
70702-01-50-01,0.851,0.122,11.95
70702-01-51-00,0.815,0.087,10.544
70702-01-52-00,1.385,0.114,11.578
70702-01-54-00,1.218,0.134,12.143
70702-01-54-01,1.095,0.109,12.224
70703-01-01-02,4.979,0.448,7.0
70703-01-01-03,3.858,0.434,9.935
70703-01-01-04,3.409,0.363,10.932
70703-01-01-05,3.043,0.398,11.1
70703-01-01-07,2.938,0.307,11.243
70703-01-01-08,2.525,0.213,9.177
70703-01-01-10,2.737,0.275,11.423
70703-01-01-11,3.026,0.383,11.438
70703-01-01-12,2.745,0.306,11.584
70703-01-01-13,2.798,0.345,11.829
70703-01-01-14,2.628,0.422,12.401
80127-02-01-01,1.054,0.128,12.505
80127-02-02-00,1.097,0.121,12.384
80127-02-02-01,1.03,0.103,11.856
80127-02-02-02,1.076,0.13,12.761
80127-02-03-00,1.088,0.152,13.233
80127-05-05-00,4.115,0.472,9.317
80127-05-05-01,3.762,0.362,9.634
80127-05-05-02,3.977,0.471,9.8
80188-01-01-00,0.983,0.096,10.636
80188-01-01-01,0.927,0.09,11.131
80188-01-01-02,0.993,0.107,11.949
80188-01-01-03,0.913,0.081,10.724
80188-01-01-04,0.962,0.069,10.135
80188-02-01-00,0.808,0.091,10.468
80188-03-01-01,0.799,0.08,9.344
80701-01-01-00,1.114,0.088,11.066
80701-01-01-01,1.176,0.115,10.939
80701-01-01-02,1.34,0.131,11.498
80701-01-02-00,1.651,0.204,12.186
80701-01-02-01,1.894,0.201,12.397
80701-01-02-02,2.11,0.233,12.001
80701-01-08-01,4.678,0.481,7.384
80701-01-11-00,2.855,0.355,13.121
80701-01-11-01,2.725,0.334,14.032
80701-01-11-02,2.87,0.355,13.308
80701-01-12-00,3.056,0.417,13.264
80701-01-19-00,3.852,0.505,10.054
80701-01-19-01,3.834,0.432,9.963
80701-01-19-02,3.729,0.471,10.466
80701-01-19-03,3.469,0.394,11.232
80701-01-23-00,2.672,0.229,13.232
80701-01-23-01,2.594,0.208,13.008
80701-01-23-02,2.867,0.384,12.859
80701-01-26-00,2.538,0.233,13.968
80701-01-32-00,2.102,0.201,15.056
80701-01-40-01,3.394,0.331,11.059
80701-01-51-00,2.218,0.201,14.27
80701-01-52-01,4.246,0.463,8.592
80701-01-53-00,3.137,0.484,12.464
80701-01-53-01,2.91,0.42,13.131
80701-01-54-00,2.821,0.396,13.171
80701-01-54-01,3.248,0.572,12.413
80701-01-54-02,2.759,0.345,13.386
80701-01-55-00,2.854,0.299,13.535
80701-01-55-01,2.828,0.334,13.319
80701-01-55-02,2.615,0.266,14.091
80701-01-56-00,2.554,0.146,13.084
80701-01-57-00,2.064,0.16,13.909
80701-01-58-00,3.021,0.246,12.904
80701-01-58-01,2.924,0.253,12.771
80701-01-58-02,2.944,0.273,13.288
80701-01-58-03,2.926,0.292,12.794
80701-01-59-00,2.853,0.161,12.849
80701-01-59-01,2.769,0.2,12.441
80701-01-59-02,2.765,0.162,12.218
80701-01-60-00,4.107,0.404,9.794
80701-01-60-02,4.092,0.358,9.309
80701-01-61-00,3.535,0.366,11.74
80701-01-61-01,3.654,0.387,10.851
80701-01-61-02,3.353,0.367,12.38
80701-01-62-00,2.459,0.275,12.957
80701-01-62-01,2.391,0.251,12.385
80701-01-62-02,2.458,0.289,12.842
90105-01-03-00,4.809,0.685,7.016
90105-01-03-01,4.968,0.806,6.728
90105-02-01-00,5.186,0.549,5.462
90105-02-01-01,5.707,0.924,4.825
90105-02-01-02,5.086,0.655,6.193
90105-02-02-00,5.085,0.721,6.447
90105-02-03-00,5.316,0.804,5.471
90105-02-04-00,4.176,0.504,10.071
90105-02-05-00,3.974,0.615,10.324
90105-05-03-00,0.897,0.115,11.943
90105-05-03-01,0.968,0.098,11.61
90105-05-03-02,0.974,0.069,10.821
90105-05-03-03,0.97,0.074,10.374
90105-05-03-04,1.391,0.146,12.548
90105-05-03-05,1.307,0.155,12.75
90105-07-01-00,4.014,0.521,10.583
90105-07-02-00,3.885,0.631,11.135
90105-07-03-00,4.093,0.576,10.677
90105-09-02-00,2.87,0.264,13.678
90105-09-05-00,3.882,0.439,10.319
90105-09-06-00,2.975,0.121,12.677
90105-09-07-00,2.27,0.201,13.156
90105-09-08-01,2.996,0.263,12.409
90105-10-01-00,2.152,0.088,13.708
90105-10-05-00,3.748,0.447,11.151
90105-10-06-00,2.047,0.056,15.393
90105-10-07-00,2.144,0.066,15.342
90108-01-02-00,2.321,0.17,11.976
90108-01-03-00,1.738,0.151,11.043
90108-01-04-00,1.418,0.125,11.022
90108-01-05-00,1.496,0.126,10.932
90108-01-06-00,1.109,0.083,9.845
90412-01-01-00,2.424,0.247,12.521
90701-01-01-00,0.891,0.126,10.856
90701-01-01-02,0.912,0.136,11.011
90701-01-02-00,0.799,0.074,9.513
90701-01-02-01,0.821,0.084,10.02
90701-01-02-02,0.805,0.076,9.839
90701-01-02-03,0.777,0.117,10.93
90701-01-03-00,0.552,0.065,8.522
90701-01-04-00,0.828,0.058,9.745
90701-01-05-00,0.691,0.076,9.089
90701-01-06-00,2.372,0.206,12.221
90701-01-07-00,2.21,0.181,12.056
90701-01-07-01,2.159,0.189,11.959
90701-01-08-00,3.624,0.305,9.937
90701-01-18-00,3.502,0.612,12.111
90701-01-19-00,2.12,0.147,14.266
90701-01-26-00,2.747,0.186,14.139
90701-01-48-00,1.822,0.19,12.917
90701-01-50-00,1.691,0.209,13.371
90701-01-50-01,1.707,0.215,13.224
91701-01-01-00,1.002,0.141,12.308
91701-01-01-01,1.011,0.115,10.928
91701-01-02-00,1.25,0.16,12.168
91701-01-02-01,1.338,0.161,13.562
91701-01-02-02,1.254,0.196,13.398
91701-01-03-00,0.749,0.067,10.073
91701-01-03-01,0.708,0.064,10.511
91701-01-04-00,1.195,0.148,12.466
91701-01-06-00,3.277,0.424,11.406
91701-01-07-00,1.798,0.212,12.186
91701-01-14-01,1.882,0.208,12.221
91701-01-15-00,2.949,0.145,12.256
91701-01-22-00,2.469,0.274,13.393
91701-01-30-00,4.153,0.787,9.077
91701-01-30-01,4.17,0.668,8.44
91701-01-31-00,3.08,0.35,11.882
91701-01-32-00,1.605,0.157,12.69
91701-01-32-01,1.648,0.161,12.779
91701-01-33-01,5.69,0.661,3.888
91701-01-34-00,2.785,0.392,12.222
91701-01-34-01,2.949,0.325,11.856
91701-01-42-00,2.779,0.21,11.897
91701-01-42-01,2.539,0.207,12.121
91701-01-43-00,2.417,0.217,12.513
91701-01-43-01,2.166,0.24,12.504
91701-01-44-00,1.647,0.219,12.614
91701-01-44-01,1.864,0.163,11.957
91701-01-45-00,1.714,0.138,11.293
91701-01-48-00,4.2,0.33,9.796
91701-01-49-00,1.274,0.11,12.247
91701-01-50-00,2.126,0.247,13.905
91701-01-51-00,2.896,0.251,12.115
91701-01-51-01,2.959,0.237,12.011
91701-01-51-02,2.998,0.218,12.41
91701-01-54-00,4.228,0.407,9.405
91701-01-54-01,3.898,0.452,10.841
91701-01-55-00,1.988,0.071,15.7
91701-01-56-00,2.109,0.072,14.593
91701-01-57-00,2.853,0.24,13.993
91701-01-57-01,2.859,0.239,14.478
91701-01-57-02,2.916,0.232,14.633
91701-01-58-00,3.64,0.398,10.246
91701-01-58-02,4.207,0.595,8.824
91701-01-59-00,2.984,0.368,11.934
91701-01-59-01,2.829,0.396,12.567
91701-01-60-02,4.332,0.465,8.391
91701-01-64-00,0.959,0.075,10.365
91701-01-64-01,1.04,0.088,10.775
91701-01-65-00,0.706,0.045,9.755
91701-01-65-01,0.648,0.058,9.158
91701-01-66-00,0.92,0.077,10.302
91701-01-67-00,0.642,0.052,9.134
91701-01-68-00,4.086,0.426,9.387
91701-01-68-01,3.075,0.244,10.231
91701-01-68-02,2.829,0.249,10.996
91701-01-69-00,2.751,0.269,11.041
91701-01-69-01,2.454,0.187,11.167
91701-01-71-00,5.943,0.773,3.637
91701-01-71-01,5.872,0.802,3.949
91701-01-73-00,1.284,0.092,11.462
91701-01-74-00,2.609,0.271,13.059
91701-01-76-00,3.136,0.368,11.703
91701-01-76-01,2.727,0.234,12.475
91701-01-78-00,2.371,0.279,14.033
91701-01-79-00,2.642,0.302,13.441
91701-01-79-01,3.053,0.4,12.464
91701-01-80-00,3.345,0.472,11.427
92082-03-01-00,3.982,0.831,10.73
92437-01-01-00,2.402,0.169,15.643
92702-01-01-00,2.94,0.484,12.565
92702-01-01-01,2.913,0.361,12.312
92702-01-02-00,1.976,0.247,14.962
92702-01-02-01,2.058,0.276,14.471
92702-01-03-00,2.638,0.39,12.963
92702-01-05-00,2.778,0.541,12.529
92702-01-05-01,2.963,0.19,12.05
92702-01-06-00,2.358,0.334,12.249
92702-01-08-00,3.988,0.557,10.636
92702-01-08-01,4.406,0.822,10.144
92702-01-08-02,4.319,0.546,9.641
92702-01-08-03,3.76,0.539,11.127
92702-01-09-00,3.819,0.472,11.182
92702-01-20-01,3.598,0.353,14.108
92702-01-20-02,3.609,0.281,13.023
92702-01-21-00,2.699,0.085,14.411
92702-01-21-01,2.615,0.15,13.763
92702-01-21-02,2.623,0.129,13.682
92702-01-22-00,4.706,0.59,7.035
92702-01-22-01,4.834,0.697,7.331
92702-01-28-00,5.115,0.725,6.628
92702-01-28-01,4.987,0.624,7.02
92702-01-29-00,3.302,0.424,12.107
92702-01-30-00,4.097,0.694,10.358
92702-01-31-00,1.069,0.071,11.841
92702-01-31-01,1.111,0.091,12.017
92702-01-32-00,0.988,0.082,11.941
92702-01-32-01,0.942,0.086,11.488
92702-01-32-02,1.042,0.1,12.026
92702-01-33-00,0.985,0.089,11.312
94701-01-10-00,2.977,0.346,13.816
94701-01-11-00,2.139,0.154,13.62
94701-01-12-00,1.316,0.058,12.672
94701-01-12-01,1.265,0.062,12.743
94701-01-13-00,2.584,0.307,14.093
94701-01-34-00,3.856,0.221,10.399
94701-01-34-01,3.839,0.195,9.684
94701-01-35-00,4.317,0.403,10.019
94701-01-46-00,4.099,0.588,9.237
96701-01-52-00,3.456,0.559,11.606
