observation_ID,A,B,C,D,E,F,G
20402-01-48-00,3.863e+03,0.11333026361229423,2.32634,3.12460,6.09858,1.30394,664.650
20402-01-49-01,1.818e+03,0.1515409915945913,1.78403,0.643617,4.98324,1.56922,132.434
20402-01-50-00,1.514e+03,0.18667424350049724,1.46677,0.264522,4.99305,1.97186,45.4598
20402-01-50-01,1.514e+03,0.18008263285368287,1.53469,0.328242,4.98815,1.87932,53.3656
20402-01-51-00,1.504e+03,0.1736251079758134,1.53023,0.314918,4.98906,1.83878,59.5907
30182-01-01-00,1.445e+03,0.17511832319134552,1.43986,0.233667,5.00140,1.80937,64.3561
30182-01-01-01,1.380e+03,0.1815756434400502,1.32808,0.145391,4.96864,1.91623,51.1976
30182-01-02-01,1.598e+03,0.1651307256468018,1.42673,0.233803,4.98281,1.77382,81.1272
30182-01-04-02,1.734e+03,0.15982312065698043,1.48429,0.306932,4.99134,1.70570,100.176
30402-01-09-00,2.005e+03,0.1418459025319902,1.75655,0.652615,4.73794,1.66239,121.639
30402-01-09-01,2.016e+03,0.13927757891311424,1.85390,0.790621,4.97733,1.62370,127.501
30402-01-10-00,1.996e+03,0.1470668485675307,1.71984,0.609216,4.69501,1.70516,108.687
30402-01-12-00,1.776e+03,0.15076394428422407,1.74062,0.580974,4.95154,1.67896,99.5503
30402-01-12-01,1.771e+03,0.15710692595546288,1.71656,0.555760,4.98442,1.72680,86.4882
30402-01-12-02,1.769e+03,0.158127262686384,1.67205,0.486764,4.97149,1.77025,81.3630
30402-01-12-03,1.762e+03,0.15644077202935192,1.66931,0.480940,4.94229,1.75841,84.1229
30402-01-16-00,1.307e+03,0.19306071871127634,1.18298,6.96489E-02,5.00261,1.96442,46.3322
30402-01-17-00,1.563e+03,0.16544655929721816,1.80456,0.666507,7.31970,1.50135,130.860
30402-01-18-00,1.098e+03,0.18994082840236687,1.45277,0.196317,5.82224,1.78547,48.6133
30703-01-14-00,1.965e+03,0.1484522356596028,1.82914,0.773143,4.97705,1.65930,106.782
30703-01-15-00,1.948e+03,0.15243800033588983,1.80660,0.736234,4.98385,1.68958,94.4438
30703-01-16-00,1.839e+03,0.15870206489675517,1.74993,0.629749,4.97851,1.72565,86.9189
30703-01-17-00,1.765e+03,0.1732812309195262,1.67301,0.536329,4.98180,1.80973,68.1483
30703-01-18-00,1.953e+03,0.14269662921348314,1.69879,0.589463,5.00013,1.57377,157.604
30703-01-19-00,1.613e+03,0.17347622237106497,1.61034,0.420667,4.97367,1.81292,64.3304
30703-01-20-00,1.536e+03,0.19323402478073232,1.45767,0.272978,4.95677,1.96757,47.6998
30703-01-21-00,1.623e+03,0.16360232666978672,1.59078,0.380352,4.99112,1.77886,74.9787
30703-01-22-00,1.551e+03,0.1650893796004206,1.53386,0.324913,4.99201,1.73906,80.7847
30703-01-22-01,1.551e+03,0.165906699403718,1.50967,0.297361,4.99045,1.76972,75.7530
30703-01-23-00,1.755e+03,0.16237193418193108,1.51669,0.347226,5.04709,1.70877,101.086
30703-01-23-01,1.416e+03,0.17631720223943553,1.38924,0.191613,4.99524,1.83205,61.6983
30703-01-24-00,1.210e+03,0.19625,1.48184,0.242731,5.82819,1.80816,47.9825
30703-01-24-01,1.208e+03,0.188895865100009,1.44212,0.217569,5.43798,1.73964,60.1264
30703-01-24-02,1.178e+03,0.18960751796572692,1.51577,0.262489,5.90070,1.72637,56.3807
30703-01-31-00,1.670e+03,0.16002612671456565,1.87387,0.816264,7.75123,1.45192,160.339
30703-01-33-00,1.405e+03,0.17190044196324725,1.68112,0.464264,6.39746,1.58055,95.8386
30703-01-34-00,1.023e+03,0.21550550026191723,1.10960,3.12847E-02,5.22867,2.15275,24.7149
30703-01-35-00,1.216e+03,0.1973066359528661,1.31547,0.130877,5.41158,1.92826,42.6297
30703-01-36-00,1.311e+03,0.18204385601985934,1.61131,0.365974,6.27305,1.67649,69.7738
30703-01-41-00,1.234e+03,0.20074965132496514,1.27949,0.113849,5.27763,1.97150,40.1307
40115-01-10-00G,1.635e+03,0.15935872841874488,1.54260,0.305651,4.97313,1.83960,59.5821
40115-01-10-01,1.664e+03,0.15456816800594234,1.51553,0.278360,4.91510,1.83394,64.2185
40115-01-10-02,1.760e+03,0.1491401905005434,1.57655,0.343789,4.97544,1.77757,77.0283
40116-01-01-00,1.373e+03,0.18106929413664996,1.27770,0.105048,4.97959,2.05508,36.1154
40116-01-01-01,1.458e+03,0.17080247384897304,1.31181,0.123931,4.98633,1.99339,43.9146
40116-01-01-02,1.431e+03,0.17404129793510323,1.31528,0.126909,4.98841,1.99664,42.3528
40116-01-01-03,1.400e+03,0.1785601014906438,1.31612,0.127951,4.98052,2.00910,39.6495
40116-01-01-04,1.268e+03,0.1939209726443769,1.14653,4.45994E-02,4.99450,2.22646,25.6421
40116-01-01-05,1.230e+03,0.19762245262781553,1.12744,3.75051E-02,4.99409,2.25333,23.7380
40116-01-01-06,1.247e+03,0.1962962962962963,1.15095,4.66914E-02,4.99048,2.21137,25.7407
40116-01-01-07,1.268e+03,0.19191655801825294,1.12691,3.71813E-02,5.00183,2.22555,26.0597
40116-01-02-00,1.475e+03,0.17275122318404215,1.30171,0.121403,4.97218,2.00269,44.0879
40116-01-02-01,1.408e+03,0.1766372795969773,1.29301,0.114847,4.94626,2.01637,40.6399
40116-01-02-02,1.431e+03,0.1766165296945263,1.28364,0.110358,4.98315,2.03054,40.3164
40116-01-02-03,1.442e+03,0.17615384615384616,1.29737,0.118541,4.99443,2.01944,41.2169
40116-01-02-04,2.086e+03,0.15276958550056302,1.49836,0.339612,4.97909,1.77927,98.5537
40116-01-02-05,1.843e+03,0.15792028150215376,1.48704,0.297232,4.97894,1.80787,78.6613
40116-01-02-06,1.709e+03,0.1631307526600953,1.40291,0.211028,4.93601,1.87187,65.0637
40116-01-02-07,1.698e+03,0.16294349540078842,1.43175,0.232529,4.98672,1.85380,66.0490
40403-01-01-00,1.341e+03,0.19095153759459021,1.34238,0.158233,5.29192,1.88237,52.0768
40403-01-09-00,1.356e+03,0.18247996073940784,1.26180,9.78953E-02,4.98180,2.05126,35.6941
40403-01-10-00,3.373e+03,0.13924385883599286,1.59176,0.692550,4.96509,1.66529,226.866
40403-01-11-00,2.482e+03,0.15023579609252188,1.49154,0.408237,4.99952,1.70930,148.643
40703-01-01-00,1.285e+03,0.19488255033557048,1.39462,0.188861,5.42927,1.87533,48.1873
40703-01-02-00,1.881e+03,0.16589595375722543,1.81701,0.838279,6.63688,1.50905,150.079
40703-01-05-00,1.604e+03,0.1549966009517335,1.92131,0.870038,7.90560,1.38918,197.816
40703-01-09-00,1.432e+03,0.18387870348882182,1.28346,0.116900,5.19269,2.00599,41.1014
40703-01-15-01,1.386e+03,0.17430455057083133,1.29945,0.119468,4.87410,1.95594,44.3324
40703-01-15-02,1.480e+03,0.170371486700324,1.35573,0.155493,4.97465,1.94018,47.7536
40703-01-16-00,1.435e+03,0.1777966494248437,1.29212,0.114437,4.97713,2.05724,37.9798
40703-01-16-01,1.421e+03,0.17926734216679657,1.28544,0.110372,4.97598,2.06617,36.9248
40703-01-16-02,1.405e+03,0.18110236220472442,1.28546,0.109964,4.99324,2.07646,35.6504
40703-01-16-03,1.396e+03,0.18152285872751764,1.24370,8.83819E-02,4.98133,2.10258,34.6917
40703-01-17-00,1.715e+03,0.16016640665626625,1.45642,0.248388,4.97511,1.85658,66.8285
40703-01-17-01,1.761e+03,0.1576879198884523,1.50526,0.299248,4.98455,1.81236,74.1135
40703-01-20-00,3.778e+03,0.13210125980508677,1.68990,0.946930,5.00324,1.63045,265.130
40703-01-20-01,4.428e+03,0.1293349859610958,1.71703,1.14252,4.99765,1.63590,313.293
40703-01-21-00,1.480e+03,0.17703492729725676,1.29329,0.121407,4.97752,2.00440,43.5635
40703-01-21-01,1.511e+03,0.1741432563612296,1.35236,0.159784,4.99513,1.95371,47.6095
40703-01-21-02,1.571e+03,0.17338424550982887,1.32892,0.148515,4.97354,1.97179,48.8419
40703-01-41-00,1.690e+03,0.16253552779430233,1.55834,0.316593,4.95480,1.92690,49.7703
40703-01-41-01,1.673e+03,0.1638304971638305,1.53745,0.291361,4.94460,1.95791,46.7206
40703-01-41-02,1.689e+03,0.16242816566483914,1.49873,0.260863,4.93200,1.96006,49.3130
40703-01-41-03,1.674e+03,0.16015755390880565,1.43339,0.198452,4.94105,2.01258,46.5037
40703-01-41-04,1.633e+03,0.16196560864541562,1.53723,0.297714,4.93592,1.88511,57.6087
40703-01-41-05,1.614e+03,0.1643760307861462,1.41250,0.189808,4.94490,1.98846,49.4122
40703-01-42-00,1.590e+03,0.17048452033874775,1.42476,0.194127,4.99468,2.05835,41.5769
40703-01-42-01,1.582e+03,0.1759465478841871,2.11752,0.903310,8.36566,1.81540,31.7424
40703-01-42-02,1.593e+03,0.17479421733416337,1.39759,0.180044,4.98573,2.08739,39.7953
40703-01-42-03,1.561e+03,0.1757661148291652,1.45821,0.228579,4.95650,2.02721,41.7988
40703-01-43-00,1.659e+03,0.16002944916672246,1.51934,0.283842,4.92234,1.88164,60.0671
40703-01-44-00,1.712e+03,0.15100538835589436,1.54286,0.303040,4.95081,1.81168,69.5252
40703-01-44-01,1.656e+03,0.15540769909701949,1.53611,0.293775,4.97315,1.83314,62.2714
40703-01-44-02,1.680e+03,0.15434535358265872,1.53670,0.306928,4.87436,1.80358,67.9623
40703-01-44-03,1.439e+03,0.17902990237527863,1.36710,0.156974,4.94600,2.05325,36.4639
40703-01-45-00,1.451e+03,0.17715244413940365,1.38255,0.166052,4.97550,2.03645,37.9525
40703-01-45-01,1.454e+03,0.17506105006105005,1.39884,0.174530,4.97785,2.02463,38.4517
40703-01-47-00,1.460e+03,0.17369821360699353,1.40494,0.185298,4.99455,1.96077,44.0916
40703-01-49-00,1.542e+03,0.17326803975226848,1.29347,0.123448,4.88999,2.00594,45.9439
40703-01-49-01,1.458e+03,0.17882102704345182,1.27999,0.111226,4.95869,2.04552,39.9496
40703-01-49-02,1.481e+03,0.17781598026758352,1.22399,8.15086E-02,4.98417,2.09201,38.7701
40703-01-50-00,1.389e+03,0.18372241765270228,1.22930,8.43643E-02,4.97594,2.06985,35.7610
40703-01-50-01,1.374e+03,0.18230346166289227,1.20587,7.15471E-02,4.97994,2.08614,34.9972
40703-01-50-02,1.350e+03,0.18474687705456938,1.21554,7.62580E-02,4.98499,2.07942,34.5037
40703-01-51-00,1.798e+03,0.1701219134847453,1.33932,0.179654,4.99406,1.90442,65.0370
40703-01-51-01,1.501e+03,0.17850799289520425,1.23220,9.06039E-02,4.98064,2.03231,42.5267
40703-01-51-02,1.616e+03,0.17309281189754888,1.30343,0.139078,4.99635,1.94416,53.9344
40703-01-51-03,1.442e+03,0.17906421028289526,1.23903,9.26027E-02,4.95532,2.00688,42.9225
50125-01-01-00,1.863e+03,0.16696524543174493,2.03923,1.07060,8.66428,1.59841,74.0236
50125-01-01-01,2.154e+03,0.16163648558014757,1.46203,0.329504,4.99310,1.81028,95.2117
50125-01-01-02,1.988e+03,0.16405550581915845,1.45020,0.297002,4.99684,1.82041,84.3229
50125-01-01-03,1.770e+03,0.1698065812609897,1.37628,0.203270,4.99754,1.90059,63.8462
50125-01-01-04,1.651e+03,0.1741206537090591,1.31356,0.148833,4.98835,1.95071,54.7371
50125-01-02-00,1.452e+03,0.1906242888568611,1.19796,7.51184E-02,4.99079,2.11611,35.4052
50125-01-02-01,1.480e+03,0.18568232662192394,1.22287,8.72745E-02,4.96813,2.08250,38.5178
50125-01-02-02,1.485e+03,0.18470579483746188,1.21248,8.11478E-02,4.98698,2.09321,38.1921
50125-01-03-00,1.940e+03,0.16508974138425367,1.44790,0.286206,5.04419,1.83067,79.8565
50405-01-02-00,1.066e+03,0.20797280593325093,1.12134,3.31346E-02,5.27863,2.21360,21.5671
50405-01-02-01,1.057e+03,0.20867940199335547,1.10897,2.85303E-02,5.39121,2.25223,20.1059
50405-01-02-02,1.122e+03,0.20231440619790134,1.11926,3.37398E-02,5.23178,2.16817,25.0997
50405-01-03-00,1.264e+03,0.18794295213929477,1.14748,4.72377E-02,5.00211,2.04879,36.1123
50703-01-08-00,1.576e+03,0.175228712174525,1.93316,0.821286,9.13981,1.57565,72.9759
50703-01-17-00,1.631e+03,0.17321489579774513,1.34091,0.167250,4.99262,1.90862,56.9605
50703-01-17-01,1.537e+03,0.176743175729491,1.29932,0.130644,4.99553,1.97109,47.4501
50703-01-17-02,1.517e+03,0.17779081707495964,1.19026,7.07285E-02,4.98757,2.04293,43.4141
50703-01-18-00,1.757e+03,0.1685123077896602,1.36422,0.190361,4.99358,1.90286,64.2345
50703-01-18-01,1.569e+03,0.1780241508368053,1.33280,0.155632,4.99666,1.97096,48.5814
50703-01-18-02,1.621e+03,0.1751095290251917,1.25616,0.109474,4.93584,2.01008,48.8493
50703-01-18-03,1.615e+03,0.17747135899019,1.28086,0.123708,4.96157,2.01670,47.1802
50703-01-19-03,2.981e+03,0.1425252033129708,1.57001,0.593474,4.98857,1.66275,200.346
50703-01-21-00,1.360e+03,0.19087002351414906,1.18553,6.46926E-02,4.99259,2.13462,32.1394
50703-01-21-01,1.359e+03,0.1898538961038961,1.21690,7.92225E-02,4.97005,2.10023,33.6394
50703-01-21-02,1.357e+03,0.1894462964468656,1.18060,6.11857E-02,4.99340,2.14640,31.5204
50703-01-24-01,2.049e+03,0.1529038608771738,1.44048,0.293126,4.98557,1.70222,123.546
50703-01-25-00,1.335e+03,0.18401332223147376,1.35437,0.148177,5.33376,1.95885,39.7810
50703-01-25-01,1.615e+03,0.17516538037486218,1.27621,0.123972,4.96853,1.95483,53.1441
50703-01-25-02,1.343e+03,0.1839907384437278,1.31488,0.123261,5.34721,2.00902,37.3288
50703-01-27-03,1.949e+03,0.16031846039292053,1.41057,0.257973,4.99183,1.76004,100.150
50703-01-28-00,1.835e+03,0.1639324340746142,1.37432,0.215458,4.99367,1.78799,88.5333
50703-01-28-01,1.705e+03,0.16639424648577966,1.36587,0.193236,5.00141,1.82086,74.8496
50703-01-28-02,1.655e+03,0.17232569084918983,1.30101,0.146204,4.99413,1.87506,65.6839
50703-01-40-01,4.527e+03,0.13163607657390963,1.73530,1.24695,4.99948,1.62826,325.299
50703-01-40-02,3.981e+03,0.13400438621155036,1.71479,1.08191,4.99280,1.61866,286.693
50703-01-40-03,3.810e+03,0.13250602834793862,1.69443,0.976367,4.97067,1.61542,284.277
50703-01-41-00,5.247e+03,0.12674142031940194,1.78744,1.52010,4.99401,1.64107,373.760
50703-01-41-01,3.388e+03,0.1340458621488369,1.71036,0.926771,4.98108,1.60439,251.566
50703-01-41-02,2.647e+03,0.13762325739544373,1.50300,0.426503,4.63714,1.67059,176.791
50703-01-41-03,2.527e+03,0.1412298656224971,1.63143,0.591358,4.94638,1.64044,164.775
50703-01-42-00,1.407e+03,0.17431918936035465,1.36671,0.153791,4.98635,1.97891,41.0826
50703-01-42-01,1.412e+03,0.17533900977609587,1.32503,0.127592,4.99232,2.02579,38.6104
50703-01-42-02,1.410e+03,0.1726590280521533,1.30949,0.118813,4.91243,2.01508,40.0629
50703-01-43-00,1.277e+03,0.2000343259246546,1.18121,5.98944E-02,4.99367,2.22900,25.3596
50703-01-43-01,1.267e+03,0.20107238605898123,1.16648,5.35206E-02,4.98997,2.24851,24.4328
50703-01-43-02,1.274e+03,0.19958706125258086,1.14228,4.37242E-02,4.99640,2.26826,24.3030
50703-01-44-01,1.421e+03,0.17504714016341924,1.25155,0.100848,4.79741,1.91495,50.9526
50703-01-45-00,2.072e+03,0.15178813697292015,1.50434,0.351255,4.98478,1.72194,110.253
50703-01-45-01,2.383e+03,0.1500188465887674,1.52198,0.419675,4.99008,1.71870,129.686
50703-01-46-00,1.561e+03,0.1745534761260941,1.30763,0.135150,4.97431,1.97381,48.9922
50703-01-46-01,1.757e+03,0.16560913705583757,1.41408,0.229695,4.98744,1.85348,69.4559
50703-01-46-02,2.152e+03,0.15751295336787566,1.49649,0.360088,4.98424,1.78113,100.413
50703-01-48-00,3.542e+03,0.13768641422580952,1.64703,0.841315,4.99236,1.63116,256.321
50703-01-49-00,1.449e+03,0.17513863216266173,1.42590,0.208262,5.16270,1.86315,51.6844
50703-01-50-00,1.202e+03,0.20322610042832406,1.10690,3.10038E-02,5.02289,2.26408,23.1860
50703-01-50-01,1.197e+03,0.20309495467448038,1.13889,4.22224E-02,4.99135,2.22811,24.1117
50703-01-50-02,1.225e+03,0.20234263233190272,1.10910,3.19055E-02,5.05583,2.25849,24.0938
50703-01-51-00,1.416e+03,0.18811727194960726,1.24672,9.63195E-02,4.98489,2.08076,36.6938
50703-01-51-01,1.413e+03,0.1894630192502533,1.26533,0.107093,4.99291,2.07263,36.4266
50703-01-52-00,1.322e+03,0.19385126713751558,1.13783,4.42217E-02,4.98990,2.17498,30.2996
50703-01-52-01,1.325e+03,0.19440988637306128,1.14035,4.49825E-02,4.99432,2.18730,29.5111
50703-01-52-02,1.309e+03,0.19651240778001342,1.14481,4.72582E-02,4.98771,2.17484,29.7299
50703-01-53-00,1.410e+03,0.18715740015661708,1.17620,6.20520E-02,4.98943,2.10485,36.2087
50703-01-53-01,1.454e+03,0.18143780905287182,1.26530,0.107008,4.96905,2.01759,42.7142
50703-01-53-02,1.471e+03,0.18138765691949185,1.24287,9.57795E-02,4.97030,2.03047,42.8566
50703-01-54-00,1.265e+03,0.19866516425413883,1.13578,4.32916E-02,4.98961,2.17121,28.8618
50703-01-54-01,1.259e+03,0.1988849202892238,1.12532,3.90412E-02,4.99581,2.18977,27.9913
50703-01-54-02,1.270e+03,0.19923934652951852,1.10908,3.31873E-02,5.03469,2.21614,27.0002
50703-01-55-00,1.508e+03,0.18001469507714915,1.25944,0.108108,4.99671,1.99258,46.5382
50703-01-55-01,1.605e+03,0.17805383022774326,1.29440,0.135974,4.99933,1.96199,52.3722
50703-01-56-00,1.649e+03,0.17391597545350324,1.32412,0.160035,4.98768,1.89825,60.2836
50703-01-59-00,1.243e+03,0.1979120587454658,1.10883,3.19145E-02,5.09092,2.20805,26.6237
50703-01-59-01,1.241e+03,0.1982460802551156,1.10866,3.25558E-02,5.01785,2.18605,27.7290
50703-01-62-00,2.297e+03,0.14864667865299575,1.51308,0.409793,5.00236,1.65763,157.687
50703-01-62-01,2.246e+03,0.148724578588832,1.47658,0.354622,5.00233,1.67459,150.729
50703-01-62-02,2.353e+03,0.14747417306416455,1.49437,0.387377,5.01385,1.67643,158.140
50703-01-62-03,2.195e+03,0.15221481971214973,1.56771,0.457660,5.27408,1.66199,140.127
50703-01-64-00,1.247e+03,0.19783030516846006,1.12118,3.73271E-02,5.00053,2.17058,28.2699
50703-01-65-01,1.232e+03,0.20410520703749777,1.10908,3.17890E-02,5.17354,2.27247,23.6919
50703-01-66-00,1.210e+03,0.20521172638436483,1.12001,3.45331E-02,5.24782,2.28147,22.6335
50703-01-66-01,1.204e+03,0.20338212564778613,2.03067,0.615026,1000.00,1.92779,18.0394
50703-01-67-00,1.248e+03,0.1961528280243537,1.11998,3.67208E-02,4.99441,2.15317,29.2664
50703-01-67-01,1.249e+03,0.19541243934715483,1.10920,3.27905E-02,4.99628,2.16049,29.0623
50703-01-67-02,1.232e+03,0.19633601429848077,1.10035,2.92556E-02,5.05557,2.17682,28.0913
60100-01-01-00,1.255e+03,0.1954063294468309,1.12887,3.99910E-02,4.99277,2.14737,29.8455
60100-01-01-01,1.287e+03,0.1949486301369863,1.14677,4.80417E-02,4.99489,2.12320,31.5751
60100-01-02-00,2.642e+03,0.15371039583158247,1.49969,0.444264,5.06068,1.73233,150.059
60100-01-03-01,1.314e+03,0.19164846244328684,1.18891,6.60205E-02,4.99106,2.07771,34.3729
60405-01-01-00,1.563e+03,0.17171573169862428,1.35101,0.164970,4.99252,1.90173,56.1179
60405-01-01-01,1.326e+03,0.18958611481975965,1.21176,7.50316E-02,4.99129,2.09217,32.9498
60405-01-03-00,1.493e+03,0.18633034987794955,1.24050,0.100587,4.99305,2.01636,43.9780
60405-01-04-00,1.286e+03,0.19836261299675934,1.10857,3.34333E-02,5.05121,2.19350,28.8669
60405-01-04-01,1.435e+03,0.18727915194346292,1.20363,7.70267E-02,4.98908,2.06752,39.4458
60405-01-04-02,1.334e+03,0.1929549579277347,1.12174,3.85782E-02,4.99083,2.16945,30.9575
60405-01-04-03,1.318e+03,0.19639879959986664,1.10058,3.04130E-02,5.08800,2.22396,28.1215
60405-01-04-04,1.318e+03,0.19204137815967295,1.10892,3.35732E-02,5.00557,2.15834,32.0202
60405-01-04-05,1.548e+03,0.18387694060675117,1.22730,9.48206E-02,4.98267,2.02916,46.0902
60405-01-04-06,1.683e+03,0.1792415693478546,1.29613,0.144262,4.98742,1.96883,54.9577
60405-01-04-07,1.492e+03,0.18294849023090584,1.22431,8.86516E-02,4.97231,2.03854,43.3056
60405-01-04-08,1.364e+03,0.18934194590230116,1.14331,4.72560E-02,4.99415,2.12097,34.8258
60701-01-01-00,1.244e+03,0.188780053428317,1.17918,5.87656E-02,4.98814,2.04542,34.6527
60701-01-01-01,1.149e+03,0.1949128047018017,1.41281,0.163354,5.78672,1.97897,30.5196
60701-01-04-00,2.425e+03,0.14918093134548133,1.49524,0.403416,5.00224,1.68288,157.348
60701-01-04-02,2.283e+03,0.14920697082435874,1.45036,0.324407,4.99415,1.70823,140.844
60701-01-05-00,1.533e+03,0.16982190436123965,1.54780,0.361753,5.23899,1.66461,96.2348
60701-01-05-01,1.520e+03,0.17232117613797004,1.48466,0.294429,5.14875,1.71449,87.1404
60701-01-06-00,2.380e+03,0.15596745027124773,1.85880,1.17419,6.03059,1.46696,231.765
60701-01-06-01,2.868e+03,0.14905596636762886,1.92331,1.56645,6.07989,1.43716,315.067
60701-01-06-02,2.446e+03,0.15519591890584455,1.81964,1.11123,5.75733,1.48236,238.865
60701-01-20-00,2.397e+03,0.10275095645837129,2.04104,1.28006,4.66876,1.36523,415.808
60701-01-23-00,1.956e+03,0.14320348228552535,1.92469,0.962472,4.99388,1.57548,137.839
60701-01-23-01,1.939e+03,0.14355582726615906,1.92765,0.993084,4.92546,1.55271,143.265
60701-01-24-00,1.909e+03,0.17945296864576385,1.74334,0.714808,4.98980,1.79762,80.0717
60701-01-24-01,1.891e+03,0.1782206006174572,1.72494,0.683001,4.96356,1.78695,84.4572
60701-01-24-02,1.915e+03,0.17757320319432118,1.69181,0.611919,4.97805,1.83472,79.5914
60701-01-25-00,1.874e+03,0.17945523529078655,1.72779,0.688709,4.98186,1.78325,84.1725
60701-01-25-01,1.873e+03,0.179780369070531,1.73574,0.703010,4.97677,1.78273,83.4424
60701-01-26-00,1.810e+03,0.17913512879187937,1.73446,0.673654,4.99189,1.77960,79.6069
60701-01-26-01,1.822e+03,0.1772594752186589,1.71250,0.634720,4.98936,1.78480,82.9951
60701-01-26-02,1.813e+03,0.17511871958726621,1.57144,0.448938,4.59344,1.82351,84.4030
60701-01-26-03,1.828e+03,0.17461610051186596,1.75635,0.702862,4.98954,1.75751,84.7151
60701-01-28-00,1.744e+03,0.1903374605486769,1.70519,0.668421,4.99468,1.77105,76.5681
60701-01-29-00,1.685e+03,0.19008992014085394,1.68779,0.603442,4.99106,1.80246,69.2706
60701-01-30-00,1.740e+03,0.16129032258064516,1.76371,0.654178,4.91187,1.69058,99.9516
60701-01-30-01,1.741e+03,0.16175748649975458,1.74830,0.619138,4.95632,1.71403,96.1664
60701-01-30-02,1.732e+03,0.16245220180091277,1.81121,0.751232,4.96802,1.64690,104.818
60701-01-31-01,2.585e+03,0.10660755752586025,2.09226,1.64253,4.98062,1.30529,527.804
60701-01-33-00,1.400e+03,0.189640768588137,1.57369,0.374660,4.99410,1.81352,59.4525
60701-01-33-01,1.401e+03,0.19107603581727123,1.56284,0.366349,4.97174,1.82107,58.7787
60702-01-01-00,2.768e+03,0.15026905469440205,1.52479,0.502349,5.00565,1.69819,171.457
60702-01-01-01,2.346e+03,0.15829859795377038,1.47044,0.375097,4.98913,1.74060,127.624
60702-01-01-02,2.684e+03,0.1522964682473885,1.51649,0.484630,4.95852,1.70231,162.202
60702-01-01-10,2.919e+03,0.14425427872860638,1.53565,0.532085,4.99774,1.66318,203.266
70702-01-01-00,1.345e+03,0.19877097612857483,1.50512,0.305880,4.99232,1.86865,52.6271
70702-01-03-00,1.499e+03,0.16332665330661322,1.58249,0.361762,4.99547,1.71398,88.8743
70702-01-03-01,1.493e+03,0.16463151845999136,1.58210,0.368865,4.97395,1.70228,90.3009
70702-01-04-00,3.452e+03,0.13560591871136915,2.09745,2.46065,6.12819,1.37579,457.223
70702-01-04-01,3.297e+03,0.13414674037486507,1.93995,1.73047,5.41703,1.42859,420.182
70702-01-04-02,4.059e+03,0.13162293385688892,2.17253,3.15482,6.35539,1.36871,547.244
70702-01-05-00,1.519e+03,0.16394837611686283,1.56519,0.367852,5.00416,1.65270,99.5155
70702-01-05-01,1.390e+03,0.17221104750116045,1.46379,0.249428,4.99063,1.74885,73.8509
